latitud,longitud,OBJECTID
-75.6380623347354,6.1782166866903,259034
-75.5673509699514,6.25409843001743,259035
-75.5700139152738,6.24012654353771,259036
-75.5590854746921,6.2110033820403,259037
-75.5930212803096,6.27338914720499,259038
-75.5968265764597,6.2501237301027,259040
-75.5914522711966,6.23159711926689,259041
-75.5590854746921,6.2110033820403,259042
-75.57248293353,6.23817033662874,259044
-75.567578137137,6.20903168031838,259045
-75.5716565638291,6.26513789246112,259046
-75.5586147063779,6.27362699140784,259047
-75.6096814397249,6.23250364035879,259049
-75.613799511249,6.25664928844702,259050
-75.5901917026851,6.24944469856416,259052
-75.6080047606986,6.24078277233337,259053
-75.5714084777015,6.22902582404633,259054
-75.5692174826057,6.27574971353517,259055
-75.5730558217296,6.26351519849269,259056
-75.574166763564,6.26108564391367,259057
-75.5721067245381,6.29540511264625,259058
-75.5945468775023,6.23144841945416,259059
-75.5654970620901,6.29635685207017,259060
-75.5748698759551,6.24907030251311,259061
-75.5831934188904,6.2960877617393,259062
-75.5871176258643,6.2654548785925,259063
-75.5354700683875,6.23460364789957,259064
-75.602375012732,6.24854652612911,259094
-75.5732876017883,6.22650847828875,259065
-75.5746534838136,6.25289424504338,259066
-75.5666901949984,6.255218999086,259067
-75.5679853729691,6.23954824040954,259068
-75.5607589784176,6.25586700699263,259069
-75.5816886054037,6.19668520985125,259070
-75.5890718401875,6.27772144634297,259071
-75.5439233865758,6.27500193919537,259072
-75.5513721560945,6.26327596820364,259074
-75.5561515385837,6.290929152477,259075
-75.5753273951643,6.27734472875996,259076
-75.610755678897,6.25428855233297,259077
-75.5882538157059,6.24090651495501,259078
-75.5770824337412,6.2040310808449,259079
-75.5642803086421,6.28571477107181,259080
-75.5790316006369,6.30120108975575,259081
-75.5577345348387,6.28715179624787,259082
-75.564683192629,6.24928194392531,259083
-75.5604624527235,6.30040099823622,259084
-75.5496092138157,6.27023174901247,259085
-75.5713042523352,6.23868828087068,259086
-75.5479066438637,6.294637172071,259087
-75.5618041975301,6.23675355966038,259088
-75.5612654870962,6.28986650496028,259089
-75.5431737341053,6.26930514639486,259090
-75.5970871109327,6.27639125526995,259091
-75.5785548097462,6.25264437020146,259092
-75.5910221461155,6.19469113495906,259093
-75.5479975331115,6.26954317761264,259095
-75.5802414587975,6.2002664557828,259096
-75.5721633409588,6.2669329616657,259097
-75.580310987146,6.25805314527251,259098
-75.5609578914132,6.28348420135212,259099
-75.5507845853014,6.23142998919578,259101
-75.5743948116441,6.23192135118625,259103
-75.5918834151691,6.27814476568113,259104
-75.5761923734051,6.21337153463292,259105
-75.5440519991447,6.26925681527828,259106
-75.5715045294298,6.24504770741106,259107
-75.5490352084942,6.30404038201993,259108
-75.5652257802217,6.22469240480646,259109
-75.5809872503478,6.25609577266677,259110
-75.5519306782325,6.25213305910474,259111
-75.5997705488314,6.25061652059841,259112
-75.5736223089443,6.27544544715533,259113
-75.5549177429218,6.20800278738512,259114
-75.565075908503,6.22819739553876,259115
-75.631248557406,6.27689867116786,259116
-75.5728047633999,6.27637039065602,259117
-75.5725196776958,6.21141135518907,259118
-75.5963481181354,6.24107524166102,259119
-75.5614688923492,6.24419495019327,259120
-75.5760403689007,6.21495588043416,259122
-75.5582706159221,6.29159899180233,259123
-75.5694504242271,6.23687848824329,259125
-75.5750526843429,6.25132137633598,259126
-75.5759588422637,6.22589919164963,259128
-75.5782710402868,6.21706650736182,259129
-75.5761923734051,6.21337153463292,259130
-75.5977117667255,6.24871770170773,259131
-75.5628445884269,6.25509514376026,259132
-75.5694300072473,6.23689973352663,259133
-75.5825475437306,6.2249129680751,259134
-75.5675920450755,6.24357857500787,259135
-75.6024192536343,6.25069788391069,259136
-75.5755814820635,6.2831082952374,259137
-75.5604862491122,6.23167117825401,259138
-75.5788605120103,6.20396730142802,259139
-75.5621361083782,6.25472818781944,259140
-75.5448136794783,6.26544755187666,259141
-75.5912681822626,6.26097115616497,259142
-75.5737239655165,6.23869303734566,259143
-75.5778737759316,6.23717577966569,259144
-75.5782166558342,6.21702871956919,259145
-75.5327865464607,6.23363941562956,259146
-75.5963658064667,6.2634259070626,259147
-75.5785548097462,6.25264437020146,259148
-75.5654970620901,6.29635685207017,259149
-75.5914522711966,6.23159711926689,259150
-75.5639621998053,6.22698678527316,259151
-75.5778644413188,6.23965187453507,259152
-75.5565803980007,6.25893646892762,259153
-75.5657881086754,6.25768759244509,259154
-75.5700771458942,6.25757429058807,259155
-75.5541467351164,6.23844683001213,259156
-75.5633391195983,6.22939335722834,259157
-75.5699518551698,6.23121544214672,259158
-75.5872969148768,6.23246375086038,259159
-75.5975719158389,6.25018615412007,259160
-75.5834971036817,6.21985415900229,259161
-75.573607706344,6.2557110933581,259163
-75.5715045294298,6.24504770741106,259164
-75.5702360452247,6.21126384279362,259165
-75.5761946383665,6.21367728331812,259166
-75.573864138813,6.23651328698442,259167
-75.5994962080625,6.24974847262028,259169
-75.5720842251902,6.28213207403901,259170
-75.58376787283,6.22560560671848,259171
-75.593308508125,6.26193440283107,259172
-75.5906906261052,6.2816533417989,259173
-75.5630671177319,6.25200719084969,259174
-75.5732150322776,6.23627083219239,259175
-75.607570054794,6.25330051530053,259176
-75.5626744797558,6.25268820804003,259177
-75.5855429145575,6.28215893071345,259178
-75.5701122376853,6.22493032424274,259179
-75.5720842251902,6.28213207403901,259181
-75.5634729338289,6.25544808581103,259182
-75.6000547008599,6.25633704068246,259183
-75.5793290445847,6.20916013543151,259184
-75.5652257802217,6.22469240480646,259185
-75.5654692036491,6.26924854737904,259186
-75.5778644413188,6.23965187453507,259188
-75.5633325416804,6.25430464662727,259189
-75.5573839344439,6.23947885575084,259190
-75.5735707739583,6.24588093767842,259191
-75.5731748713978,6.27329337021748,259192
-75.5591365375028,6.2089384485884,259193
-75.5732242668422,6.26035202541271,259194
-75.5753945904661,6.2399744031021,259195
-75.593308508125,6.26193440283107,259196
-75.5850207391003,6.22423321688064,259197
-75.5749910744917,6.26567312544854,259198
-75.5504811545939,6.24051719137303,259199
-75.5618607583376,6.25125655499245,259200
-75.5525126572068,6.24902658638021,259201
-75.5540242985064,6.27895618421946,259202
-75.5687473565163,6.25734684373755,259203
-75.570338271442,6.28641691666067,259204
-75.5756387158688,6.28958515881287,259205
-75.5870781945917,6.20431824209487,259206
-75.5639166444967,6.28901472330246,259207
-75.5654692036491,6.26924854737904,259208
-75.5756982830815,6.29522604996845,259209
-75.551338739313,6.24177727495535,259210
-75.5567582368851,6.26806355054619,259211
-75.6079281497578,6.23855791862745,259212
-75.6422348753519,6.17725680702689,259213
-75.5577820583933,6.28719464872295,259214
-75.6042576180932,6.26101030584147,259215
-75.5919392068951,6.22277639722692,259216
-75.5739844493413,6.26126808379561,259217
-75.5958770194106,6.26316656487433,259218
-75.5890718401875,6.27772144634297,259219
-75.5830624380382,6.23949703863636,259220
-75.5510178398369,6.28641694339493,259221
-75.5798761985234,6.25953181726099,259222
-75.5723550685229,6.28047775446262,259223
-75.5874995644932,6.23704382570796,259224
-75.5700771458942,6.25757429058807,259225
-75.5982593846408,6.21083095119795,259226
-75.6197128038381,6.24491987107203,259227
-75.5597680780867,6.30211181071675,259228
-75.5638558236774,6.25065672740238,259229
-75.5621987170167,6.25474608827493,259231
-75.5460648903515,6.22991709991431,259233
-75.584192911481,6.28446882220172,259234
-75.5782541889549,6.22587554286394,259235
-75.546181524687,6.15274366461153,259236
-75.5276848998831,6.20160109724663,259237
-75.5635512591788,6.25679846118824,259238
-75.599376094803,6.22415228486498,259239
-75.6022909773116,6.25086496092592,259241
-75.5723898020349,6.22620762493921,259242
-75.5785288669566,6.27993393705581,259243
-75.5720842251902,6.28213207403901,259244
-75.5744806989008,6.23045480440433,259245
-75.6041600467271,6.23194275733302,259246
-75.5879909605099,6.25418797309996,259247
-75.574166763564,6.26108564391367,259248
-75.5858871720884,6.24893473363434,259249
-75.570533384356,6.27404340257481,259250
-75.5561693591509,6.20225804216897,259251
-75.5814347201768,6.25010689871722,259252
-75.5727955923209,6.23122788303795,259253
-75.5746968132189,6.24612175609784,259254
-75.570533384356,6.27404340257481,259255
-75.5728047633999,6.27637039065602,259256
-75.5732256649389,6.26305729597329,259257
-75.5930212803096,6.27338914720499,259259
-75.5745262413284,6.23105228831158,259260
-75.5694300072473,6.23689973352663,259261
-75.5732256649389,6.26305729597329,259262
-75.5931861758856,6.23326463443477,259263
-75.572850883185,6.21339157509051,259264
-75.5856527335897,6.2168426072267,259265
-75.5736223089443,6.27544544715533,259266
-75.5646610521186,6.26404702218029,259268
-75.5737842239027,6.23871952491351,259269
-75.5694300072473,6.23689973352663,259270
-75.5827225584111,6.25511139037247,259271
-75.5658428356637,6.24552635058107,259272
-75.5667326475062,6.30385302705279,259273
-75.5672472478527,6.19184954328458,259274
-75.5750095508981,6.22572301193242,259275
-75.6006881155029,6.23117158091287,259276
-75.5721633409588,6.2669329616657,259277
-75.5795319258205,6.24774015961016,259278
-75.5715045294298,6.24504770741106,259279
-75.5723549865692,6.2620191013075,259280
-75.599376094803,6.22415228486498,259281
-75.5731787494821,6.23846124851477,259282
-75.6021792989829,6.26596617188652,259283
-75.5962552344832,6.2287108659948,259284
-75.5872969148768,6.23246375086038,259285
-75.582251916062,6.24849396200237,259286
-75.6066421738897,6.24018512595751,259287
-75.6026038115672,6.25680000798852,259288
-75.5560431037093,6.24347399998611,259289
-75.5728047633999,6.27637039065602,259290
-75.5561837317833,6.23466026620614,259291
-75.5860546025994,6.25851753595637,259292
-75.5615102709153,6.28611308377686,259293
-75.576701200412,6.24374841054689,259294
-75.5912295758734,6.24956723656372,259295
-75.5820384430798,6.2736774670188,259296
-75.5677970122782,6.25629083240077,259297
-75.5747583881445,6.27291933868298,259298
-75.5614688923492,6.24419495019327,259299
-75.570533384356,6.27404340257481,259300
-75.5746501006341,6.23607770312855,259301
-75.6006881155029,6.23117158091287,259302
-75.5707140142794,6.28438850213703,259303
-75.5767048181426,6.25198274279152,259304
-75.5428375833861,6.26212247812898,259305
-75.5781682774863,6.25105587888747,259306
-75.559289867134,6.26589242392042,259307
-75.5454837450282,6.26634574774662,259309
-75.587299449939,6.20485803927464,259310
-75.5672611532274,6.25090316631194,259312
-75.6120295614446,6.26063078264416,259313
