latitud,longitud,OBJECTID,Y,RADICADO,FECHA,HORA,DIA,PERIODO,CLASE,DIRECCION,DIRECCION_,CBML,TIPO_GEOCO,GRAVEDAD,BARRIO,COMUNA,DISENO
-75.5748698759551,6.24907030251311,259061,1183013.83,1519820,2016-01-21T00:00:00.000Z,02:45 PM,JUEVES,2016,Choque,CL 46 CR 56,CL  046   056  000 00000,1007,Malla vial,HERIDO,Guayaquil,La Candelaria,Tramo de via
-75.5831934188904,6.2960877617393,259062,1188214.63,1519905,2016-01-21T00:00:00.000Z,07:10 PM,JUEVES,2016,Otro,CR 83 CL 97,CR  083   097  000 00000,608,Malla vial,HERIDO,Picacho,Doce de Octubre,Tramo de via
-75.5871176258643,6.2654548785925,259063,1184826.23,1519819,2016-01-21T00:00:00.000Z,07:00 AM,JUEVES,2016,Choque,CL 60 CR 75,CL  060   075  000 00000,703,Malla vial aproximada: CL 60-74,HERIDO,San Germán,Robledo,Tramo de via
-75.5354700683875,6.23460364789957,259064,1181413.7,1520012,2016-01-21T00:00:00.000Z,08:16 PM,JUEVES,2016,Atropello,CL 56 CR 8,CL  056   008  000 00000,815,Malla vial aproximada: CL 55-9,HERIDO,Las Estancias,Villa Hermosa,Tramo de via
-75.602375012732,6.24854652612911,259094,1182956.03,1519849,2016-01-21T00:00:00.000Z,01:00 PM,JUEVES,2016,Otro,CR 82 CL 42,CR  082   042  000 00000,1111,Malla vial aproximada: CR 81-42,HERIDO,Lorena,Laureles Estadio,Tramo de via
-75.5732876017883,6.22650847828875,259065,1180518.18,1519713,2016-01-21T00:00:00.000Z,12:00 AM,JUEVES,2016,Caída de Ocupante,CR 43 A CL 25,CR  043 A   025  000 00000,1401,Malla vial aproximada: CR 44-25,HERIDO,Barrio Colombia,El Poblado,Tramo de via
-75.5746534838136,6.25289424504338,259066,1183436.81,1519911,2016-01-21T00:00:00.000Z,11:12 AM,JUEVES,2016,Choque,CR 50 D CL 50 D,CR  050 D   050 D  000 00000,1006,Malla vial aproximada: CR 50-50,HERIDO,San Benito,La Candelaria,Tramo de via
-75.5666901949984,6.255218999086,259067,1183693.95,1519853,2016-01-21T00:00:00.000Z,03:20 PM,JUEVES,2016,Atropello,CR 51 CL 56,CR  051   056  000 00000,1018,Malla vial,HERIDO,Villa Nueva,La Candelaria,Tramo de via
-75.5679853729691,6.23954824040954,259068,1181960.55,1519889,2016-01-21T00:00:00.000Z,11:30 AM,JUEVES,2016,Atropello,CR 44 CL 40,CR  044   040  000 00000,1020,Malla vial,HERIDO,San Diego,La Candelaria,Tramo de via
-75.5607589784176,6.25586700699263,259069,1183765.63,1519790,2016-01-21T00:00:00.000Z,09:20 AM,JUEVES,2016,Choque,CL 60 CR 46,CL  060   046  000 00000,1001,Malla vial,HERIDO,Prado,La Candelaria,Tramo de via
-75.5816886054037,6.19668520985125,259070,1177219.34,1519893,2016-01-21T00:00:00.000Z,07:45 AM,JUEVES,2016,Choque,CL 11 sur CR 50,CL S 011   050  000 00000,1510,Malla vial,HERIDO,Guayabal,Guayabal,Interseccion
-75.5890718401875,6.27772144634297,259071,1186183.09,1519794,2016-01-21T00:00:00.000Z,01:40 PM,JUEVES,2016,Choque,CL 76 CR 80,CL  076   080  000 00000,715,Malla vial,HERIDO,Villa Flora,Robledo,Tramo de via
